ip,total_events,probe_conn,login_failed,login_success,http_requests,http_404,fail_rate,probe_ratio,unique_users,unique_ports,unique_paths,time_span_h,events_per_h,active_hours,attack_chain,label,reason,ml_score
108.95.165.39,9547,9547,0,0,0,0,0.0,1.0,0,6937,0,29.48,323.85,25,0,malicious,SSH 端口扫描器（探测 9547 条，占比 100%）,0.8375
213.209.159.175,1294,0,0,0,1294,1278,0.0,0.0,0,0,592,7.08,182.77,4,0,malicious,Web 目录/敏感文件扫描（HTTP 1294 条，404 占比 99%）,0.77
34.96.49.66,778,0,0,0,778,760,0.0,0.0,0,0,771,0.0,778.0,1,0,malicious,Web 目录/敏感文件扫描（HTTP 778 条，404 占比 98%）,0.7344
136.107.98.147,644,0,0,0,644,634,0.0,0.0,0,0,638,0.0,644.0,1,0,malicious,Web 目录/敏感文件扫描（HTTP 644 条，404 占比 98%）,0.6992
134.185.86.87,60,0,0,0,60,52,0.0,0.0,0,0,60,0.0,60.0,1,0,suspect,ML 离群（规则未覆盖，分数 0.545）,0.5447
134.185.92.144,60,0,0,0,60,52,0.0,0.0,0,0,60,0.0,60.0,1,0,suspect,ML 离群（规则未覆盖，分数 0.545）,0.5447
185.19.40.63,42,0,0,0,42,36,0.0,0.0,0,0,19,18.67,2.25,2,0,suspect,ML 离群（规则未覆盖，分数 0.564）,0.5643
34.128.107.11,19,0,0,0,19,19,0.0,0.0,0,0,19,0.0,19.0,1,0,suspect,ML 离群（规则未覆盖，分数 0.447）,0.4473
35.228.4.168,19,0,0,0,19,19,0.0,0.0,0,0,19,0.0,19.0,1,0,suspect,ML 离群（规则未覆盖，分数 0.447）,0.4473
62.210.142.168,17,0,0,0,17,13,0.0,0.0,0,0,16,0.03,566.67,1,0,suspect,ML 离群（规则未覆盖，分数 0.533）,0.5334
16.5.0.236,6,0,0,0,6,1,0.0,0.0,0,0,2,6.5,0.92,5,0,suspect,ML 离群（规则未覆盖，分数 0.464）,0.4642
195.170.172.118,4,4,0,0,0,0,0.0,1.0,0,4,0,0.01,400.0,1,0,suspect,ML 离群（规则未覆盖，分数 0.584）,0.5843
47.243.223.221,4,0,0,0,4,0,0.0,0.0,0,0,2,0.01,400.0,1,0,suspect,ML 离群（规则未覆盖，分数 0.442）,0.4422
195.182.16.23,4,0,0,0,4,4,0.0,0.0,0,0,1,20.6,0.19,4,0,suspect,ML 离群（规则未覆盖，分数 0.480）,0.4797
77.239.124.130,3,3,0,0,0,0,0.0,1.0,0,3,0,13.29,0.23,3,0,suspect,ML 离群（规则未覆盖，分数 0.545）,0.5449
2.57.122.209,3,1,2,0,0,0,1.0,0.333,1,2,0,0.03,100.0,1,0,suspect,ML 离群（规则未覆盖，分数 0.688）,0.688
77.90.185.16,2,2,0,0,0,0,0.0,1.0,0,1,0,9.63,0.21,2,0,suspect,ML 离群（规则未覆盖，分数 0.469）,0.4693
